,Average +/-,Average points,Average second chance points,Average possessions,Average defensive rebounds,Average offensive rebounds,Total rebounds,Average total rebounds,Steals,Average steals,3 Points made,Average 3 points made,3 Point percentage,Turnovers,Average turnovers,Turnover percentage,2 Points attempted,Average 2 points attempted,2 Points made,Average 2 points made,Minutes,Average minutes,Assists,Average assists,Assist percentage,Blocks,Average blocks,Blocks received,Average blocks received,Efficiency,Field goals attempted,Average field goals attempted,DFPG,OFPG,OF,PFPG,TF,TFPG,Tot Fouls,Tot Fouls PG,Uns. Foul PG,FTA,FTAPG,FTMPG
Jing Hung Lee,1.4,2.2,0,0,1.2,0.8,10,2,0,0,0,0,0,3,0.6,16.1,13,2.6,4,0.8,42:19,8.5,2,0.4,0,1,0.2,1,0.2,9,13,2.6,0,0.2,1,0.8,0,0,5,1,0,6,1.2,0.6
Joon Kang Lee,-0.3,4.5,0.4,0,1.7,0.5,37,2.2,10,0.6,12,0.7,46.2,14,0.8,18.6,31,1.8,17,1,281:45,16.6,42,2.5,0,1,0.1,1,0.1,122,57,3.4,0,0,0,0.9,0,0,15,0.9,0,10,0.6,0.4
"Shu Wen, Jayson Lee",0.5,11.7,2.1,0,4.1,0.7,72,4.8,18,1.2,31,2.1,30.1,35,2.3,15.8,63,4.2,21,1.4,367:03,24.5,21,1.4,0,1,0.1,6,0.4,130,166,11.1,0,0,0,1.2,0,0,19,1.3,0.1,48,3.2,2.7
Chee Huei Liaw,-2,1,0,0,0.5,0,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,6:04,3,0,0,0,0,0,0,0,2,1,0.5,0,0,0,0,0,0,0,0,0,2,1,1
"Wen Qian, Anthony Liew",-2.3,2.7,0.3,0,1.4,0.9,25,2.3,10,0.9,0,0,0,7,0.6,18.9,21,1.9,8,0.7,177:16,16.1,13,1.2,0,5,0.5,2,0.2,59,23,2.1,0,0.1,1,2.4,0,0,28,2.6,0.1,16,1.5,1.3
Chee Wei Lim,-1.9,5.7,0.2,0,1.5,0.9,41,2.4,26,1.5,13,0.8,33.3,35,2.1,25.5,57,3.4,23,1.4,442:30,26,46,2.7,0,0,0,5,0.3,111,96,5.7,0,0,0,1.2,1,0.1,23,1.4,0.1,14,0.8,0.7
Wan Seong Lim,-3.8,2.8,0.4,0,1.4,1.3,42,2.6,5,0.3,0,0,0,9,0.6,11.3,53,3.3,21,1.3,190:35,11.9,7,0.4,0,1,0.1,5,0.3,40,69,4.3,0,0,0,1.5,0,0,24,1.5,0,4,0.3,0.1
Frederick Lee Jones Lish,0.4,20.5,2,0,4.8,1.5,75,6.3,25,2.1,31,2.6,28.7,27,2.3,9.9,120,10,61,5.1,357:30,29.8,26,2.2,0,1,0.1,2,0.2,198,228,19,0,0.1,1,0.8,0,0,10,0.8,0,43,3.6,2.6
Soon Guan Low,-0.7,2,0,0,0.7,0,2,0.7,0,0,2,0.7,50,0,0,0,0,0,0,0,19:55,6.6,1,0.3,0,0,0,0,0,7,4,1.3,0,0,0,1,0,0,3,1,0,0,0,0
Dia Macoumba,-8.7,3.4,0.5,0,1.5,0.8,25,2.3,7,0.6,5,0.5,22.7,13,1.2,20.9,24,2.2,8,0.7,122:35,11.1,7,0.6,0,0,0,2,0.2,29,46,4.2,0,0,0,1.2,0,0,13,1.2,0,7,0.6,0.6
